Freshness_Level,MQ2_mean,MQ2_std,MQ2_slope,MQ3_mean,MQ3_std,MQ3_slope,MQ9_mean,MQ9_std,MQ9_slope,MQ135_mean,MQ135_std,MQ135_slope,MQ136_mean,MQ136_std,MQ136_slope,MQ138_mean,MQ138_std,MQ138_slope,Temperature_mean,Temperature_std,Temperature_slope,Humidity_mean,Humidity_std,Humidity_slope,MQ3_over_MQ2_end,MQ136_over_MQ138_end
Pure Fresh,2.122891667,0.051791464,-0.01268986,27.51034167,1.025399596,-0.27349965,0.2658,0.006195428,-0.001365035,0.007333333,8.50E-05,2.80E-06,3.761666667,0.109652636,-0.024009091,3.508066667,0.12590126,-0.029722378,28.81666667,0.367045259,0.105594406,79.91666667,7.239455934,1.758741259,12.6010518,1.091002363
Pure Fresh,2.0613,0.05911345,-0.014795105,26.3811,0.987720295,-0.265316783,0.264425,0.004413639,0.00085979,0.007433333,0.000143372,2.52E-05,3.687633333,0.119105229,-0.029882517,3.414725,0.12838972,-0.032105944,29.16666667,0.256038192,0.072727273,83.91666667,6.369959881,1.36013986,12.55334594,1.082015357
Pure Fresh,2.014075,0.054420632,-0.01191993,25.419425,0.908287334,-0.231645105,0.269908333,0.007299824,0.001962587,0.007625,0.000331976,7.94E-05,3.615841667,0.065972247,-0.00756049,3.33915,0.068348671,-0.006232867,29.425,0.183143841,0.052097902,86.66666667,3.34995854,-0.405594406,12.38855542,1.077111383
Pure Fresh,1.987891667,0.030723239,-0.000824126,24.792625,0.546883966,-0.108031119,0.276275,0.006594837,0.001614336,0.007941667,0.000427119,9.13E-05,3.601166667,0.047207456,-0.002733566,3.328508333,0.045135656,-0.000173776,29.65,0.21015867,0.06013986,85.25,2.046338193,-0.423076923,12.23251589,1.08592927
Pure Fresh,1.984066667,0.016534173,0.001640559,24.37431667,0.279460062,-0.056287413,0.28325,0.006431757,0.001552448,0.008366667,0.000502217,0.000113287,3.600858333,0.010938194,-0.000798252,3.344066667,0.017126312,0.003198601,29.86666667,0.2013841,0.057342657,84.41666667,0.759202798,0.003496503,12.02431549,1.068472379
Pure Fresh,2.005258333,0.02534362,0.004964685,24.184475,0.297728403,-0.077861888,0.290716667,0.008729054,0.002456643,0.00865,0.000409268,7.90E-05,3.6057,0.023407833,0.003928671,3.365866667,0.034117477,0.009332168,30.09166667,0.180084857,0.051398601,84.75,0.721687836,0.192307692,11.61107863,1.059426707
Pure Fresh,2.02985,0.037725378,0.010259441,23.95230833,0.184929691,-0.030631119,0.300208333,0.008846417,0.002312238,0.008883333,0.000114261,7.69E-06,3.63345,0.039307855,0.009274825,3.421775,0.060039253,0.01673042,30.23333333,0.131233465,0.033566434,85.75,1.010362971,0.276223776,11.50692307,1.04174804
Pure Fresh,1.99825,0.088451913,-0.017790909,23.62830833,0.437913234,-0.106703147,0.2792,0.038842266,-0.008718182,0.008908333,0.000103749,1.50E-05,3.580341667,0.114975711,-0.021945105,3.336258333,0.193039709,-0.036913636,30.425,0.187638837,0.045804196,87,1.414213562,0.356643357,12.61777213,1.15029102
Pure Fresh,1.910841667,0.127705413,-0.034908042,23.12333333,0.617136074,-0.168213287,0.248208333,0.045851144,-0.011880769,0.008916667,7.99E-05,-1.54E-05,3.455916667,0.183468216,-0.049448252,3.111533333,0.327882053,-0.089834266,30.6,0.227303028,0.060839161,88.91666667,2.139249609,0.451048951,12.51639947,1.1921685
Pure Fresh,1.862483333,0.081604471,0.003213986,22.97411667,0.49428732,0.026283217,0.2284,0.022959929,0.002677622,0.008883333,8.98E-05,-1.68E-05,3.370375,0.105243552,-0.002905245,2.937691667,0.190633993,-0.01693951,30.79166667,0.1381927,0.031818182,90,1.732050808,0.195804196,11.77045818,1.122342816
Pure Fresh,1.923125,0.126691825,0.035578671,23.50989167,1.023190169,0.26835979,0.258075,0.047182273,0.01342972,0.008816667,9.86E-05,-1.61E-05,3.438208333,0.17149543,0.048942308,3.024066667,0.276071737,0.077716783,30.91666667,0.09860133,0.025174825,91,1.354006401,0.013986014,11.90246216,1.06289612
Pure Fresh,2.046125,0.099842802,0.027975175,24.275025,0.755994018,0.172853497,0.317675,0.058762476,0.01701014,0.008741667,0.000118732,-2.90E-05,3.650316667,0.200662066,0.057872028,3.37175,0.342246706,0.098953147,31,0.091287093,0.021678322,90.91666667,0.862006703,0.101398601,11.28757781,1.017053311
Pure Fresh,2.138258333,0.059944314,0.015603147,24.44876667,0.760317392,-0.105388811,0.366008333,0.053826379,0.008666084,0.008675,8.29E-05,-1.36E-05,3.868341667,0.189015826,0.054456993,3.74315,0.314857255,0.090867832,31.09166667,0.09537936,0.021328671,91.16666667,0.687184271,-0.076923077,10.55499884,0.984419631
Pure Fresh,2.138191667,0.058388319,-0.008489161,23.74595833,1.068221544,-0.271690559,0.362441667,0.056197204,-0.009677273,0.008508333,0.000239647,-5.00E-05,4.042066667,0.13163002,0.035445455,4.03945,0.217355601,0.059986014,31.01666667,0.177169097,-0.025874126,90.83333333,0.552770798,-0.055944056,10.90007794,0.979634635
Pure Fresh,2.115525,0.065386952,-0.013995455,23.48323333,0.988313783,0.00218042,0.342683333,0.053570512,-0.008652448,0.008225,0.000389711,-0.000103846,4.148283333,0.073306569,0.016963636,4.223033333,0.117729551,0.029874825,31.03333333,0.2013841,0.004195804,90.91666667,0.640095479,0.031468531,11.74970349,0.970860836
Pure Fresh,2.091158333,0.033742788,0.006707343,23.664925,0.960515791,0.230486364,0.322166667,0.013541438,0.003585315,0.008016667,0.000247768,-2.94E-05,4.170375,0.04523067,-0.002970979,4.287275,0.046073169,0.003282867,31.09166667,0.249861073,0.067482517,91.08333333,0.759202798,0.15034965,11.30172089,0.964613677
Pure Fresh,2.103683333,0.037829901,0.004241958,24.19225833,0.609566177,0.035027622,0.328875,0.00589281,-8.78E-05,0.007983333,0.000167498,4.62E-05,4.111175,0.098940202,-0.025756993,4.232041667,0.113869636,-0.028154895,31.25833333,0.1381927,0.024125874,91.58333333,0.640095479,0.108391608,11.30172089,0.979110979
Pure Fresh,2.12,0.031560339,0.000256643,24.98368333,1.068239003,0.212406294,0.337216667,0.016222353,0.002565035,0.008033333,0.000149071,-1.33E-05,4.059583333,0.079531606,-0.010655944,4.1578,0.104944303,-0.021029371,31.325,0.092421138,0.001048951,91.91666667,0.640095479,0.094405594,12.42602644,0.98542092
Pure Fresh,2.153541667,0.062217086,0.014136014,25.88005833,1.33215265,0.341837413,0.362816667,0.038008877,0.010408392,0.008008333,0.000160511,-2.34E-05,4.077925,0.098496025,0.023363986,4.156233333,0.102500515,0.020598601,31.425,0.183143841,0.045804196,92,0.577350269,-0.034965035,12.1982639,0.98415795
Pure Fresh,2.181466667,0.04839317,0.008604196,25.73065,1.567934656,-0.29123007,0.375933333,0.028677789,0.002188811,0.007958333,0.000118732,5.24E-06,4.1022,0.074113393,0.003006294,4.18705,0.080497521,0.010713287,31.5,0.173205081,0.023776224,92,0.707106781,-0.013986014,10.68275862,0.96931723
Pure Fresh,2.200716667,0.026322482,-0.00459021,24.790825,1.730613769,-0.418623427,0.3774,0.024988464,-0.005881818,0.007991667,6.40E-05,1.15E-05,4.072475,0.100518697,-0.026620629,4.173908333,0.094050283,-0.024342308,31.45833333,0.217785572,-0.056293706,92.58333333,1.320248293,0.304195804,10.85929739,0.974700007
Pure Fresh,2.1923,0.015207783,0.000867832,23.73896667,0.517631952,0.013425175,0.358708333,0.006736277,-0.001495455,0.008025,4.33E-05,7.34E-06,4.006041667,0.054591719,-0.008575874,4.10355,0.066904914,-0.013896503,31.30833333,0.184654332,-0.043706294,93.66666667,1.433720878,0.384615385,10.90554517,0.9793448
Pure Fresh,2.187358333,0.015736977,-0.000523427,23.68341667,0.261935418,0.008916783,0.362383333,0.011415182,0.0023,0.008025,4.33E-05,-1.05E-06,3.959083333,0.051330528,-0.006346853,4.031041667,0.06509678,-0.013101049,31.11666667,0.15184056,-0.034965035,94.66666667,0.745355992,0.13986014,10.81908045,0.992779229
Pure Fresh,2.19815,0.020879635,0.001754545,23.7836,0.220549212,-0.016386713,0.3697,0.013,0.002606993,0.008041667,4.93E-05,4.55E-06,3.963083333,0.051595992,-0.003197203,4.002491667,0.064302585,-0.010491259,30.99166667,0.184654332,-0.041608392,94.91666667,0.276385399,-0.024475524,10.70938297,0.995277391
Pure Fresh,2.215025,0.034635871,0.009640909,23.75793333,0.179824295,0.043311888,0.375483333,0.007239916,-0.000404895,0.008058333,4.93E-05,1.22E-05,3.996183333,0.096724745,0.022653147,4.0162,0.099608082,0.019732867,31,0.212132034,0.034265734,94.75,0.433012702,-0.045454545,10.47139718,0.992975521
Pure Fresh,2.217641667,0.038979812,-0.003238112,23.4991,0.572482029,-0.123318881,0.367941667,0.013117384,-0.003387063,0.008058333,4.93E-05,-7.34E-06,4.037916667,0.088441599,0.009714685,4.039175,0.101897548,0.008133916,31.23333333,0.359010987,0.101398601,94.5,0.866025404,-0.076923077,10.42319647,1.008694765
Pure Fresh,2.193883333,0.051854039,-0.012567832,23.06,0.660488302,-0.168538462,0.352191667,0.017991038,-0.005022028,0.00805,5.00E-05,-5.59E-06,4.043233333,0.083239157,-0.010751748,4.037725,0.101318928,-0.013845804,31.55833333,0.262863505,0.06958042,93.33333333,1.699673171,-0.377622378,10.51083275,1.003380393
Pure Fresh,2.157441667,0.030888468,-0.005650699,22.61091667,0.28437773,-0.035878322,0.335116667,0.015503055,-0.00403007,0.008025,4.33E-05,3.15E-06,4.012791667,0.055275016,-0.005445105,3.996833333,0.065454569,-0.00711958,31.775,0.108972474,0.027622378,92.75,1.479019946,-0.192307692,10.46982618,1.007456751
Pure Fresh,2.150766667,0.015020615,0.002843357,22.483475,0.147858469,-0.013745804,0.330583333,0.00987951,0.001128671,0.008025,4.33E-05,-5.24E-06,4.036,0.062975524,0.016117483,4.018241667,0.068558885,0.015902448,31.85833333,0.049300665,0.011538462,93,1.58113883,0.426573427,10.24052544,1.002034933
Pure Fresh,2.17885,0.043615011,0.01025035,22.61135,0.309699767,0.035688811,0.329916667,0.01142569,0.000973427,0.008008333,2.76E-05,-2.45E-06,4.124016667,0.109822424,0.029729371,4.103383333,0.113020675,0.028865734,31.89166667,0.02763854,0.003146853,94.25,1.089724736,0.248251748,10.30918609,1.013453662
Pure Fresh,2.175716667,0.048245221,-0.001854545,22.34961667,0.510450863,-0.062353147,0.332391667,0.010906302,-0.001112238,0.008,1.73E-18,-8.09E-20,4.144483333,0.091092012,-0.003036364,4.10925,0.112492077,-0.006967133,31.9,7.11E-15,7.23E-16,94.91666667,0.276385399,-0.024475524,10.11655172,1.006572839
Pure Fresh,2.183133333,0.049505611,-0.002421678,22.18805,0.545451179,-0.092404895,0.337191667,0.0151666,0.002797552,0.007983333,5.53E-05,-3.50E-06,4.154341667,0.091612676,-0.008961888,4.119608333,0.114087842,-0.007332517,31.9,7.11E-15,7.23E-16,94.91666667,0.276385399,0.003496503,9.98026942,1.005885616
Pure Fresh,2.169683333,0.034676765,0.007898601,21.82948333,0.150268969,0.012954545,0.345008333,0.01395991,0.003205944,0.007983333,5.53E-05,2.10E-06,4.129783333,0.05913335,0.014772028,4.095225,0.085133524,0.020058392,31.925,0.04330127,0.007342657,94.91666667,0.276385399,0.031468531,9.942725653,1.010223116
Pure Fresh,2.183316667,0.020780353,-0.000436364,21.79186667,0.162553049,-0.019655245,0.3493,0.008711295,-0.001558042,0.007983333,5.53E-05,7.69E-06,4.147808333,0.046092054,-0.003281469,4.129791667,0.052680079,-0.003267483,31.96666667,0.062360956,0.012587413,94.83333333,0.372677996,-0.06993007,10.0327816,1.002932696
Pure Fresh,2.165466667,0.027182082,-0.006037063,21.70125833,0.112365998,-0.014495455,0.335991667,0.016988156,-0.004554895,0.008133333,0.000235702,5.03E-05,4.106366667,0.074560315,-0.01930979,4.072241667,0.09663691,-0.024302448,32.025,0.059511904,0.010839161,94.5,0.5,-0.125874126,10.17538085,1.01175707
Pure Fresh,2.145266667,0.023775139,-0.006100699,21.63379167,0.093028772,-0.009694056,0.325816667,0.012199784,-0.002393706,0.008316667,0.000276385,6.64E-05,4.048316667,0.066465691,-0.015685315,3.997533333,0.092916103,-0.022404196,32.075,0.059511904,0.012937063,94.41666667,0.493006649,0.003496503,10.13677797,1.01277442
Pure Fresh,2.120541667,0.016558606,-0.004107343,21.58158333,0.091855437,-0.017504895,0.317966667,0.004141122,0.000334965,0.0085,0.000173205,1.96E-05,3.999041667,0.037110768,-0.006352797,3.937441667,0.038880125,-0.003831119,32.13333333,0.062360956,0.016083916,94.25,0.433012702,-0.01048951,10.22420418,1.012567917
Pure Fresh,2.120533333,0.015610324,0.000732867,21.58158333,0.091855437,0.002484615,0.321483333,0.00364665,0.000318182,0.008491667,0.000149768,-2.62E-05,4.001716667,0.034955229,0.001454545,3.942933333,0.033451192,0.003892308,32.175,0.04330127,0.009440559,94.25,0.433012702,-0.094405594,10.13334587,1.012363158
Pure Fresh,2.111883333,0.016595021,0.000230769,21.55925833,0.092558778,0.005933916,0.319191667,0.004444371,-0.000259091,0.008408333,0.000170579,-3.18E-05,3.988258333,0.03426761,-0.001681469,3.940108333,0.029267002,-0.000982168,32.20833333,0.02763854,0.003846154,94,0,-7.86E-16,10.26661606,1.008885133
Pure Fresh,2.12055,0.017437292,-0.000727273,21.725575,0.277275588,0.052005245,0.323616667,0.010867063,0.001062238,0.008375,0.000147902,7.34E-06,3.962175,0.074549325,-0.018190559,3.9183,0.056725744,-0.01436993,32.11666667,0.338706691,-0.041958042,93.83333333,0.552770798,-0.062937063,10.65857014,0.997777138
Pure Fresh,2.124733333,0.032692107,0.00647972,22.38511667,0.998435039,0.26686014,0.3395,0.026124701,0.007055944,0.008408333,0.000138193,2.62E-05,3.909083333,0.06358481,-0.013233566,3.905725,0.046862069,1.22E-05,31,1.596871942,-0.406993007,94.08333333,0.759202798,0.087412587,11.09317902,0.984410704
Pure Fresh,2.1686,0.054084548,0.012700699,23.421,1.182921868,0.318362238,0.36355,0.026062057,0.007113986,0.008491667,0.000111492,1.78E-05,3.9078,0.064767662,0.005741958,3.941066667,0.082592426,0.018223077,30.29166667,1.381700844,-0.218531469,93.83333333,1.67497927,-0.083916084,10.94897264,0.987716527
Pure Fresh,2.19705,0.04581931,0.008406294,24.07229167,0.611739499,0.051961189,0.380258333,0.00830115,0.001114336,0.008541667,0.000103749,1.99E-05,3.942016667,0.063212127,0.014483217,4.018575,0.082754981,0.018950699,30.00833333,1.025880381,0.25,91.08333333,4.517712056,-1.108391608,10.8070619,0.970293416
Pure Fresh,2.209008333,0.023667645,-0.00598986,24.12650833,0.411274994,-0.102936014,0.373883333,0.015768155,-0.004186014,0.008583333,5.53E-05,7.69E-06,3.974891667,0.037702508,0.001087063,4.064025,0.057761494,0.005607343,30.81666667,0.599768474,0.151048951,88,4.143267632,-0.909090909,10.90850421,0.97493654
Pure Fresh,2.187416667,0.020233587,-0.005288112,23.82491667,0.133398875,-0.030751748,0.357091667,0.018803212,-0.005271678,0.008616667,3.73E-05,6.99E-06,3.980266667,0.039245623,-0.002915385,4.069683333,0.049994164,-0.005629371,31.25833333,0.165621724,0.043706294,86.58333333,2.099933861,0.423076923,10.91695662,0.983988318
Pure Fresh,2.152958333,0.045217925,-0.010274476,23.91199167,0.336296998,0.057480769,0.3297,0.026195419,-0.00701958,0.008625,8.29E-05,1.05E-06,3.943733333,0.080396884,-0.012998601,4.00565,0.119976814,-0.024484615,31.46666667,0.188561808,0.051048951,88.83333333,3.131382371,0.776223776,12.12085913,1.015881708
Pure Fresh,2.0784,0.096076627,-0.026485315,23.475575,0.823683878,-0.145764685,0.296933333,0.036088002,-0.010173427,0.00865,8.66E-05,2.10E-06,3.775325,0.243077097,-0.064747902,3.760125,0.334552644,-0.090063287,31.65833333,0.197730175,0.054195804,91.25,2.419538523,0.493006993,11.54278549,1.066325705
Pure Fresh,1.9797,0.105514801,-0.029708392,22.741475,1.175689684,-0.305806643,0.261291667,0.031288269,-0.008724126,0.008666667,8.50E-05,6.29E-06,3.5731,0.242655387,-0.064402797,3.470983333,0.337168321,-0.090491608,31.90833333,0.213924961,0.05979021,91.58333333,2.099933861,-0.136363636,11.50501205,1.06149295
Pure Fresh,1.892666667,0.054125076,-0.014470629,21.74175833,0.621424767,-0.164961888,0.235383333,0.015806688,-0.004325874,0.008666667,4.71E-05,-4.20E-06,3.397575,0.085869185,-0.014665385,3.21305,0.133285136,-0.028581119,32.10833333,0.205986785,0.056293706,91.33333333,1.545603083,-0.104895105,11.41892557,1.082754044
Pure Fresh,1.852366667,0.019585468,-0.00477972,21.43483333,0.25056166,-0.01423007,0.2246,0.005071982,-0.000960839,0.008625,8.29E-05,-1.57E-05,3.385775,0.058484644,0.005278671,3.1411,0.058641538,-0.008865734,32.175,0.142156018,-0.015734266,91.75,1.785357107,0.486013986,11.65494301,1.105068309
Pure Fresh,1.853083333,0.023402024,0.003062238,21.51760833,0.332321407,0.058477273,0.22495,0.005103512,0.001214685,0.008608333,7.59E-05,5.24E-06,3.419675,0.07223177,0.011921329,3.126458333,0.061853475,-0.000568881,32.08333333,0.190758719,-0.047552448,93.33333333,1.649915823,0.433566434,11.64087093,1.104470035
Pure Fresh,1.8664,0.026228451,0.006513287,21.74028333,0.253905156,0.045762238,0.229808333,0.005662664,0.001591259,0.008625,8.29E-05,1.50E-05,3.453208333,0.050724459,0.002650699,3.127358333,0.055345799,-2.34E-05,31.94166667,0.118731724,-0.022727273,94.16666667,0.687184271,-0.020979021,11.59421435,1.109080984
Pure Fresh,1.883025,0.01731267,0.002461189,21.85270833,0.203494011,0.022568881,0.23375,0.002148061,0.000386713,0.008658333,4.93E-05,-1.05E-06,3.456383333,0.032455786,-0.00328951,3.128116667,0.038765337,-0.000732867,31.90833333,0.049300665,0.008041958,94,0.707106781,-0.160839161,11.54916028,1.100178378
Pure Fresh,1.895925,0.020817265,0.003721329,22.11006667,0.746680463,0.105113986,0.240133333,0.013148278,0.002195105,0.00865,5.00E-05,-9.09E-06,3.469016667,0.039587747,0.006244056,3.175991667,0.093892185,0.019246503,31.925,0.059511904,0.010839161,93.5,0.5,-0.076923077,12.55334594,1.038697788
Pure Fresh,1.977291667,0.122511003,0.030675874,22.76821667,1.228381659,0.231083916,0.3011,0.088299358,0.022323077,0.008625,4.33E-05,-8.04E-06,3.643925,0.268406284,0.067547203,3.488666667,0.453206041,0.117573427,32.10833333,0.253174292,0.06048951,92.33333333,1.649915823,-0.405594406,10.8070619,0.952398783
Pure Fresh,2.103316667,0.155867181,0.043616084,22.8832,1.157314052,-0.017176224,0.373991667,0.09350848,0.024780769,0.008608333,2.76E-05,-3.85E-06,3.942016667,0.356560544,0.099313287,4.004283333,0.599372933,0.169270629,32.18333333,0.240947205,0.026573427,91.66666667,1.433720878,-0.20979021,9.826022301,0.921531241
Pure Fresh,2.2613,0.128968575,0.034152448,22.813925,1.182601021,-0.148568881,0.422891667,0.046190754,0.000676573,0.008083333,0.000738053,-0.000169231,4.590708333,0.65623747,0.165145105,4.846458333,0.754908101,0.201082867,31.71666667,1.058956509,-0.241958042,88.66666667,3.324989557,-0.72027972,9.562044091,0.927712927
Pure Fresh,2.353783333,0.08675252,0.01917972,22.53195,0.785090062,0.128137762,0.446266667,0.048396235,0.006262238,0.007725,0.000660965,-0.000112238,5.2109,0.674435596,0.172527972,5.663075,0.800325287,0.21602972,30.325,1.740270573,-0.484265734,84,6.31136541,-1.741258741,9.557531505,0.88747177
Pure Fresh,2.4465,0.092324013,0.02097972,23.184675,1.047081739,0.250138112,0.479316667,0.071200677,0.01993986,0.0075,0.000387298,0.00010979,5.882183333,0.418474842,0.101958042,6.520875,0.636078471,0.169483566,28.675,1.546568783,-0.422027972,78.66666667,4.089281382,-1.027972028,9.509042115,0.868374122
Good,2.5228,0.090408831,0.024697203,23.97545833,0.757780461,0.205415734,0.5572,0.06067266,0.017495105,0.008191667,0.000725096,0.000197552,6.203366667,0.290725886,0.073532168,7.049716667,0.431766648,0.111523776,27.275,0.813557005,-0.234615385,75.5,0.957427108,-0.195804196,9.437233195,0.865382809
Good,2.598933333,0.046905389,0.012586014,24.675225,0.448743856,0.124552098,0.602458333,0.038513579,0.009114336,0.008691667,0.000595061,0.000138112,6.421733333,0.079926032,0.01879021,7.367875,0.113843139,0.030526923,26.45,0.634428877,-0.181118881,74.33333333,1.247219129,-0.328671329,9.55479117,0.855838399
Good,2.634458333,0.027185304,0.005731818,25.129875,0.419784634,0.115484965,0.624583333,0.01106954,-0.001063636,0.00905,0.000236291,-2.80E-06,6.446258333,0.055201939,-0.000156993,7.441591667,0.05838682,0.011612238,25.8,0.465474668,-0.134265734,73.08333333,1.320248293,-0.367132867,9.669793757,0.847941496
Good,2.64295,0.021264113,0.000983916,25.48415,0.349142116,0.089615385,0.611308333,0.01577754,-0.004184266,0.008983333,5.53E-05,-1.12E-05,6.411891667,0.08388117,-0.023747203,7.444916667,0.050057181,-0.00630979,25.325,0.369966215,-0.105944056,71.58333333,1.187317237,-0.325174825,9.822544341,0.847148537
Good,2.630241667,0.030052522,-0.006225524,25.68585833,0.224688753,0.022858392,0.595183333,0.018770803,-0.005309091,0.008941667,4.93E-05,-1.15E-05,6.295316667,0.117717379,-0.033205594,7.394158333,0.076580801,-0.017109441,24.96666667,0.256038192,-0.071328671,70.58333333,1.037491633,-0.255244755,9.923017374,0.841710345
Good,2.613591667,0.04479013,-0.00751014,25.8461,0.331996087,0.010762238,0.573591667,0.017923656,-0.00494021,0.008966667,8.50E-05,1.75E-05,6.208816667,0.099399018,-0.022794406,7.353658333,0.07624366,-0.011626224,24.71666667,0.181811869,-0.05034965,69.83333333,0.687184271,-0.104895105,10.11976214,0.837903448
Good,2.5998,0.040058332,-0.002442657,25.96895,0.364102052,0.024728671,0.553641667,0.02012608,-0.005647902,0.0091,0.000191485,5.17E-05,6.076808333,0.134265499,-0.028545804,7.277941667,0.121361811,-0.018191958,24.86666667,0.712195354,0.104195804,69.08333333,0.953793595,-0.199300699,9.96152068,0.820540306
Good,2.589383333,0.041171852,-0.00576993,25.84003333,0.488743386,-0.104881818,0.531425,0.021328546,-0.005885664,0.009283333,0.000181812,4.55E-05,6.051275,0.122721338,-0.010955594,7.294541667,0.122363315,0.00335,25.95,1.58981131,0.421678322,68.83333333,0.986013297,-0.034965035,9.80429855,0.820540306
Good,2.543808333,0.063341751,-0.016410839,25.26855,0.79158285,-0.224493706,0.490491667,0.044219461,-0.011992657,0.009408333,0.000118732,1.43E-05,5.932225,0.135739426,-0.014974476,7.212791667,0.140342174,-0.008111538,27.38333333,1.599913192,0.433566434,69.66666667,1.885618083,0.48951049,9.896858398,0.812765351
Good,2.488841667,0.062967564,-0.016581469,24.46410833,0.716869993,-0.200802448,0.4555,0.039408692,-0.009968531,0.009425,8.29E-05,-1.15E-05,5.846,0.184978273,-0.050812587,7.149033333,0.171492543,-0.046857343,28.7,0.609644705,0.172027972,72.08333333,2.660148283,0.758741259,9.730061346,0.807081965
Good,2.443283333,0.029222475,-0.005037762,23.86258333,0.406272138,-0.10398951,0.421358333,0.013436484,-0.003252098,0.009466667,0.000197203,2.03E-05,5.660775,0.134496296,-0.036801049,6.973758333,0.118101287,-0.032694056,29.25833333,0.354632047,0.10034965,74.75,2.165063509,0.611888112,9.648042159,0.809983968
Good,2.427791667,0.011863,-0.002518531,23.475575,0.276654014,-0.074002448,0.412333333,0.011182526,-0.002687413,0.009641667,0.000304024,7.59E-05,5.560441667,0.08178567,-0.020171678,6.8631,0.099124602,-0.026905594,29.60833333,0.236143789,0.067482517,76.83333333,1.343709625,0.377622378,9.576059846,0.814247483
Good,2.419241667,0.011216688,-0.002785664,23.19625833,0.272622839,-0.07772972,0.4048,0.005911289,-0.000474825,0.009841667,0.000256445,5.35E-05,5.491133333,0.043104763,-0.008416084,6.781375,0.051786406,-0.01351993,29.83333333,0.169967317,0.047552448,78.58333333,1.552328001,0.437062937,9.451454098,0.811382452
